Ubicazione
VIA AMADEO GIAN ANTONIO N. 40 ; (z.d. 3)
VIA AMADEO GIAN ANTONIO N. 40 via amadeo  40 (z.d. 3)
VIA AMADEO GIAN ANTONIO N. 54 ; (z.d. 3)
VIA AMEDEI N. 3 ; (z.d. 1)
VIA AMORETTI CARLO N. 8A (z.d. 8)
VIA AMPERE ANDREA MARIA N. 103 ; (z.d. 3)
VIA AMPERE ANDREA MARIA N. 120 via ampere 120 (z.d. 3)
VIA AMPERE ANDREA MARIA N. 123 ; (z.d. 3)
VIA AMPERE ANDREA MARIA N. 65 ; (z.d. 3)
VIA ANACREONTE N. 1 p.r.; (z.d. 2)
VIA ANDEGARI N. 18 (z.d. 1)
VIA ANDO' FLAVIO num.0024; (z.d. 8)
VIA ANDREA E PIETRO CASCELLA N. 8 (z.d. 4)
VIA ANFITEATRO N. 6 ; (z.d. 1)
VIA ANFOSSI AUGUSTO N. 19 p.t. e seminterrato; (z.d. 4)
VIA ANFOSSI AUGUSTO N. 28 ; (z.d. 4)
VIA ANFOSSI AUGUSTO N. 44 ; (z.d. 4)
VIA ANFOSSI AUGUSTO N. 8 ; (z.d. 4)
VIA ANFOSSI AUGUSTO N. 9 ; (z.d. 4)
VIA ANGELO DELLA PERGOLA N. 7 ingresso da p.le archinto; (z.d. 9)
VIA ANGELONI LUIGI N. 23 ; (z.d. 9)
VIA ANGELONI LUIGI N. 33 ; (z.d. 9)
VIA ANGELONI LUIGI N. 40 ; (z.d. 9)
VIA ANGERA N. 10 ; (z.d. 2)
VIA ANGUISSOLA SOFONISBA N. 23 ; (z.d. 7)
VIA ANGUISSOLA SOFONISBA N. 31 ; (z.d. 7)
VIA ANSELMO DA BAGGIO N. 10 ; (z.d. 7)
VIA ANSELMO DA BAGGIO N. 63 (z.d. 7)
VIA ANSELMO DA BAGGIO N. 63 ; (z.d. 7)
VIA ANTONELLO DA MESSINA N. 22 ; (z.d. 7)
VIA ANTONINI GIACOMO N. 62 ; (z.d. 5)
VIA ANZANI FRANCESCO N. 1 ; (z.d. 4)
VIA ANZANI FRANCESCO N. 2 ; (z.d. 4)
VIA AOSTA N. 13 (z.d. 8)
VIA APELLE N. 20 ; (z.d. 2)
VIA APPENNINI N. 11A (z.d. 8)
VIA APPENNINI N. 65 al piano secondo; (z.d. 8)
VIA APPENNINI num.007a; (z.d. 8)
VIA APPENNINI num.077h; (z.d. 8)
VIA APPIANI ANDREA N. 12 con ingresso in via parini 5; (z.d. 1)
VIA ARBE N. 31 ; (z.d. 2)
VIA ARBE N. 33 ; (z.d. 2)
VIA ARBE N. 65 ; (z.d. 2)
VIA ARBE N. 85 ; (z.d. 2)
VIA ARCHIMEDE N. 20 (z.d. 4)
VIA ARCHIMEDE N. 41 ; (z.d. 4)
VIA ARCHIMEDE N. 43 ; (z.d. 4)
VIA ARCHIMEDE N. 59 ; (z.d. 4)
VIA ARCHIMEDE N. 83 (z.d. 4)
VIA ARCHIMEDE N. 83 ; (z.d. 4)
VIA ARCO N. 1 (z.d. 1)
VIA ARENA N. 35 ; (z.d. 1)
VIA ARENA N. 35 con ingr. via g.d'annunzio 23; (z.d. 1)
VIA ARESE FRANCESCO N. 20 ingresso su v.thaon de revel 9; (z.d. 9)
VIA ARGANINI GEROLAMO N. 23 ; (z.d. 9)
VIA ARGANINI GEROLAMO N. 26 ; (z.d. 9)
VIA ARGELATI FILIPPO N. 1 ; (z.d. 6)
VIA ARIBERTO DA INTIMIANO N. 19 ; (z.d. 1)
VIA ARICI CESARE N. 1 ; (z.d. 2)
VIA ARICI CESARE N. 3 ; (z.d. 2)
VIA ARIMONDI GIUSEPPE N. 1 (z.d. 8)
VIA ARIMONDI GIUSEPPE N. 11 ; (z.d. 8)
VIA ARIOSTO LODOVICO N. 27 ; (z.d. 1)
VIA ARIOSTO LODOVICO N. 34 ; (z.d. 1)
VIA ARISTOTELE N. 15 ; (z.d. 2)
VIA ARISTOTELE N. 39 ; (z.d. 2)
VIA ARISTOTELE N. 67 ; (z.d. 2)
VIA ARNO' RICCARDO N. 6 ; (z.d. 3)
VIA ARNOLFO DI CAMBIO N. 2 (z.d. 8)
VIA ARONA int. centro comm.le coop num.0155; (z.d. 8)
VIA ARQUA' N. 14 ; (z.d. 2)
VIA ARSIA N. 7 (z.d. 8)
VIA ARSIA N. 7 interno 21; (z.d. 8)
VIA ARZAGA N. 11 ; (z.d. 6)
VIA ARZAGA N. 24 ; (z.d. 6)
VIA ASELLI GASPARE N. 20 ; (z.d. 3)
VIA ASELLI GASPARE N. 24 ; (z.d. 3)
VIA ASELLI GASPARE N. 26 ; (z.d. 3)
VIA ASELLI GASPARE N. 29 (z.d. 3)
VIA ASELLI GASPARE N. 29 ; (z.d. 3)
VIA ASELLI GASPARE N. 5 ; (z.d. 3)
VIA ASELLI GASPARE N. 7 ; (z.d. 3)
VIA ASIAGO N. 116 ; (z.d. 2)
VIA ASIAGO N. 68 ; (z.d. 2)
VIA ASSIETTA N. 19 ; (z.d. 9)
VIA ASTESANI ALESSANDRO N. 2 (z.d. 9)
VIA ASTESANI ALESSANDRO N. 2 ; (z.d. 9)
VIA ASTESANI ALESSANDRO N. 20 interno cortile; (z.d. 9)
VIA ASTESANI ALESSANDRO N. 4 (z.d. 9)
VIA ASTESANI ALESSANDRO N. 40 ; (z.d. 9)
VIA ASTESANI ALESSANDRO N. 43 ; (z.d. 9)
VIA ASTICO N. 18 ; (z.d. 2)
VIA ATENE N. 6 ; (z.d. 2)
VIA AUSONIO N. 16 con ingresso via ariberto; (z.d. 1)
VIA AUSONIO N. 26 ; (z.d. 1)
VIA AUSONIO N. 4 ; (z.d. 1)
VIA BAGAROTTI MAFFEO N. 38 ; (z.d. 7)
VIA BAINSIZZA N. 2 (z.d. 5)
VIA BAINSIZZA N. 2 ingresso da v.le col di lana; (z.d. 5)
VIA BALBO CESARE N. 36 ; (z.d. 5)
VIA BALDINUCCI FILIPPO N. 102 ; (z.d. 9)
VIA BALDINUCCI FILIPPO N. 14 ; (z.d. 9)
VIA BALDINUCCI FILIPPO N. 6 ; (z.d. 9)
VIA BALDINUCCI FILIPPO N. 99 ; (z.d. 9)
VIA BALDISSERA ANTONIO N. 4 ingr.v.stoppani 24 ang eustach; (z.d. 3)
VIA BALESTRIERI DOMENICO N. 5 ; (z.d. 1)
VIA BALESTRIERI DOMENICO N. 8 ; (z.d. 1)
VIA BALILLA N. 14 ; (z.d. 5)
VIA BARABINO NICOLO' N. 7 ; (z.d. 4)
VIA BARACCHINI FLAVIO N. 9 (z.d. 1)
VIA BARDELLI GIUSEPPE N. 12 ; (z.d. 3)
VIA BARI N. 2 ; (z.d. 6)
VIA BARI num.011d; (z.d. 6)
VIA BARI num.011e; (z.d. 6)
VIA BARONI COSTANTINO N. 16 ; (z.d. 5)
VIA BARONI COSTANTINO N. 172 ; (z.d. 5)
VIA BARONI COSTANTINO N. 242 ; (z.d. 5)
VIA BARONI COSTANTINO num.008b; (z.d. 5)
VIA BARONI COSTANTINO num.198f; (z.d. 5)
VIA BARRILI  ANTON GIULIO N. 24 ; (z.d. 5)
VIA BASSI PAOLO N. 22 ; (z.d. 9)
VIA BASSI UGO N. 18 ingr.p.za fidia; (z.d. 9)
VIA BASSI UGO N. 30 ; (z.d. 9)
VIA BASSINI EDOARDO N. 41 ; (z.d. 3)
VIA BASSINI EDOARDO N. 45 ; (z.d. 3)
VIA BATTAGLIA NATALE N. 6 (z.d. 2)
VIA BATTISTI CESARE N. 21 ; (z.d. 1)
VIA BATTISTI CESARE N. 8 ; (z.d. 1)
VIA BATTISTOTTI SASSI LUISA N. 12 ; (z.d. 4)
VIA BATTISTOTTI SASSI LUISA N. 2 ; (z.d. 4)
VIA BATTISTOTTI SASSI LUISA N. 8 ; (z.d. 4)
VIA BAZZINI ANTONIO N. 27 ; (z.d. 3)
VIA BEATO ANGELICO N. 29 (z.d. 3)
VIA BECCARIA CESARE N. 5 ; (z.d. 1)
VIA BELINZAGHI GIULIO N. 4 ; (z.d. 9)
VIA BELLARMINO ROBERTO N. 17 ; (z.d. 5)
VIA BELLARMINO ROBERTO N. 25 ; (z.d. 5)
VIA BELLERIO CARLO N. 22 ; (z.d. 9)
VIA BELLEZZA GIOVANNI N. 1 ; (z.d. 5)
VIA BELLEZZA GIOVANNI N. 12 ; (z.d. 5)
VIA BELLINI GENTILE N. 10 ; (z.d. 6)
VIA BELLINI GENTILE N. 8 ; (z.d. 6)
VIA BELLOTTI FELICE N. 4 ; (z.d. 3)
VIA BELLOTTI FELICE N. 5 ; (z.d. 3)
VIA BENACO N. 1 (z.d. 4)
VIA BENACO N. 26 ; (z.d. 5)
VIA BENACO N. 32 int.cortile; (z.d. 5)
VIA BENADIR N. 14 (z.d. 2)
VIA BENEFATTORI DELL'OSPEDALE N. 1 ; (z.d. 9)
VIA BENELLI SEM N. 11 con ingresso in via uruguay; (z.d. 8)
VIA BENGASI N. 2 ingr.via padova; (z.d. 1)
VIA BERGAMO N. 12 (z.d. 4)
VIA BERGAMO N. 12A (z.d. 4)
VIA BERGAMO N. 2 (z.d. 4)
VIA BERGAMO N. 2 ; (z.d. 4)
VIA BERGAMO N. 22 ; (z.d. 4)
VIA BERGAMO N. 8 ; (z.d. 4)
VIA BERGOGNONE AMBROGIO DA FOSSANO N. 31 ; (z.d. 6)
VIA BERGOGNONE AMBROGIO DA FOSSANO N. 31 ingresso lato b; (z.d. 6)
VIA BERGOGNONE AMBROGIO DA FOSSANO N. 43 5ø piano; (z.d. 6)
VIA BERGOGNONE AMBROGIO DA FOSSANO N. 9 ; (z.d. 6)
VIA BERRA DOMENICO N. 3 ; (z.d. 2)
VIA BERTANI AGOSTINO N. 14 ; (z.d. 1)
VIA BERTELLI LUIGI num.002a; (z.d. 2)
VIA BERTINI GIOVANNI BATTISTA N. 18 ; (z.d. 8)
VIA BERTOLAZZI CARLO N. 20 ; (z.d. 3)
VIA BERUTO CESARE N. 13 ; (z.d. 3)
VIA BESSARIONE N. 12 ; (z.d. 4)
VIA BESSARIONE N. 42 ; (z.d. 4)
VIA BETTI UGO N. 46D num.046d; (z.d. 8)
VIA BETTI UGO num.161a; (z.d. 8)
VIA BETTI UGO num.161b; (z.d. 8)
VIA BEZZECCA N. 1 ; (z.d. 4)
VIA BIANCHI MOSE' N. 11 ; (z.d. 7)
VIA BIANCHI MOSE' N. 26 ; (z.d. 7)
VIA BIELLA N. 20 1 locale; (z.d. 6)
VIA BIELLA N. 24 ; (z.d. 6)
VIA BIGLI N. 20 (z.d. 1)
VIA BIGLI N. 28 ; (z.d. 1)
VIA BINDA AMBROGIO N. 5 ; (z.d. 6)
VIA BINDA AMBROGIO N. 9 (z.d. 6)
VIA BINDA AMBROGIO N. 9 ; (z.d. 6)
VIA BINDA AMBROGIO num.040; (z.d. 6)
VIA BIONDELLI BERNARDINO N. 1 (z.d. 5)
VIA BIONDELLI BERNARDINO N. 1 ; (z.d. 5)
VIA BIONDI EZIO N. 1 ; (z.d. 8)
VIA BIONDI EZIO N. 5 ; (z.d. 8)
VIA BIRAGHI LUIGI N. 11 ; (z.d. 9)
VIA BISI ALBINI SOFIA N. 4 ; (z.d. 2)
VIA BISLERI FELICE N. 11 ; (z.d. 7)
VIA BIUMI PAOLO GEROLAMO N. 16 ; (z.d. 2)
VIA BIUMI PAOLO GEROLAMO N. 18 ; (z.d. 2)
VIA BIXIO NINO N. 10 (z.d. 3)
VIA BIXIO NINO N. 12 ; (z.d. 3)
VIA BIXIO NINO N. 32 ; (z.d. 3)
VIA BOBBIO N. 2 ; (z.d. 6)
VIA BOCCACCIO GIOVANNI N. 11 ; (z.d. 1)
VIA BOCCACCIO GIOVANNI N. 15 ; (z.d. 1)
VIA BOCCACCIO GIOVANNI N. 26 c/o farmacia boccaccio; (z.d. 1)
VIA BOCCACCIO GIOVANNI N. 45 5ø piano; (z.d. 1)
VIA BOCCACCIO GIOVANNI N. 9 ; (z.d. 1)
VIA BOCCACCIO GIOVANNI num.015a; (z.d. 1)
VIA BOERI GIOVANNI BATTISTA N. 11 trasloco fuori raggio; (z.d. 5)
VIA BOIARDO MATTEO MARIA N. 22 ; (z.d. 2)
VIA BOIARDO MATTEO MARIA N. 33 ; (z.d. 2)
VIA BOIFAVA PIETRO N. 80 ; (z.d. 5)
VIA BOIFAVA PIETRO num.006c; (z.d. 5)
VIA BOIFAVA PIETRO num.076a; (z.d. 5)
VIA BOLZANO N. 6 ; (z.d. 2)
VIA BONCOMPAGNI CARLO N. 10 ; (z.d. 4)
VIA BONCOMPAGNI CARLO N. 36 ; (z.d. 4)
VIA BONFADINI ROMUALDO N. 80 ; (z.d. 4)
VIA BONFADINI ROMUALDO N. 89 ; (z.d. 4)
VIA BONFADINI ROMUALDO num.256; (z.d. 4)
VIA BONGHI RUGGERO N. 12 (z.d. 5)
VIA BONGHI RUGGERO N. 16 ; (z.d. 5)
VIA BONGHI RUGGERO N. 9 ; (z.d. 5)
VIA BONI GIACOMO N. 10 ; (z.d. 7)
VIA BONI GIACOMO N. 16 ; (z.d. 7)
VIA BONI GIACOMO N. 25 ; (z.d. 7)
VIA BONI GIACOMO N. 33 ; (z.d. 7)
VIA BONI GIACOMO N. 39 ; (z.d. 7)
VIA BONI GIACOMO N. 45 ; (z.d. 7)
VIA BONNET NINO N. 3 ; (z.d. 9)
VIA BONNET NINO N. 5 ; (z.d. 9)
VIA BONNET NINO num.006b; (z.d. 9)
VIA BONVESIN DE LA RIVA N. 9 piano terra e seminterrato; (z.d. 4)
VIA BORDIGHERA N. 22 ; (z.d. 5)
VIA BORDONI ANTONIO N. 12 ; (z.d. 9)
VIA BORGONUOVO N. 9 piano seminterrato; (z.d. 1)
VIA BORSI GIOSUE' N. 2 (z.d. 6)
VIA BORSI GIOSUE' N. 2 ; (z.d. 6)
VIA BORSIERI PIETRO N. 29 ; (z.d. 9)
VIA BORSIERI PIETRO num.041.; (z.d. 2)
VIA BOSCHETTI ERASMO N. 7 ; (z.d. 2)
VIA BOSCOVICH RUGGERO N. 17 (z.d. 2)
VIA BOSCOVICH RUGGERO N. 17 ; (z.d. 2)
VIA BOSCOVICH RUGGERO N. 26 ; (z.d. 2)
VIA BOSCOVICH RUGGERO N. 31 ; (z.d. 2)
VIA BOSCOVICH RUGGERO N. 44 ; (z.d. 3)
VIA BOSCOVICH RUGGERO N. 61 ; (z.d. 3)
VIA BOTTA CARLO N. 4 ; (z.d. 4)
VIA BOTTEGO VITTORIO N. 13 (z.d. 2)
VIA BOTTESINI GIOVANNI N. 7 (z.d. 3)
VIA BOTTICELLI SANDRO N. 2 ; (z.d. 3)
VIA BOVISASCA num.173; (z.d. 9)
VIA BRA' N. 14 ; (z.d. 3)
VIA BRACCIO DA MONTONE N. 2 ; (z.d. 1)
VIA BRAGA GAETANO N. 1 ; (z.d. 2)
VIA BRAMANTE N. 14 ; (z.d. 1)
VIA BRAMANTE N. 7 ; (z.d. 1)
VIA BREDA ERNESTO N. 44 ; (z.d. 2)
VIA BRENO N. 2 (z.d. 4)
VIA BRIOSCHI FRANCESCO N. 39 (z.d. 5)
VIA BRIOSCHI FRANCESCO N. 44 (z.d. 5)
VIA BRIOSCHI FRANCESCO N. 5 ; (z.d. 5)
VIA BRIOSCHI FRANCESCO N. 52 ; (z.d. 5)
VIA BRIOSCHI FRANCESCO N. 92 ; (z.d. 5)
VIA BRIOSCHI FRANCESCO N. 93 con ingresso in via pezzotti; (z.d. 5)
VIA BRIOSI GIOVANNI N. 8 ; (z.d. 3)
VIA BRISA N. 15 ; (z.d. 1)
VIA BRISA N. 3 terzo piano; (z.d. 1)
VIA BRIZI EUGENIO N. 1 ; (z.d. 4)
VIA BROCCHI GIAN BATTISTA N. 19 ; (z.d. 3)
VIA BROCCHI GIAN BATTISTA i piano num.007a; (z.d. 3)
VIA BROGGI GIUSEPPE N. 15 ; (z.d. 3)
VIA BROGGI GIUSEPPE N. 17 1ø piano; (z.d. 3)
VIA BROGGI GIUSEPPE N. 5 (z.d. 3)
VIA BROLETTO N. 30 ; (z.d. 1)
VIA BROLETTO N. 39 ; (z.d. 1)
VIA BRONZINO N. 1 ; (z.d. 3)
VIA BRONZINO N. 21 ; (z.d. 3)
VIA BRUNACCI VINCENZO N. 10 ; (z.d. 5)
VIA BRUNELLESCHI FILIPPO N. 1 ; (z.d. 6)
VIA BRUNELLESCHI FILIPPO N. 2 ; (z.d. 6)
VIA BRUNO CASSINARI N. 1 (z.d. 4)
"VIA BRUNO CASSINARI N. 11 codvia 4386 num.011; via cassinari, 11/f (z.d. 4)"
VIA BRUNO GIORDANO N. 6 ; (z.d. 1)
VIA BRUSUGLIO N. 67 ; (z.d. 9)
VIA BRUSUGLIO N. 73 (z.d. 9)
VIA BRUSUGLIO N. 73 ; (z.d. 9)
VIA BRUZZESI GIACINTO N. 2 (z.d. 6)
VIA BRUZZESI GIACINTO N. 2 ; (z.d. 6)
VIA BRUZZESI GIACINTO N. 25 ; (z.d. 6)
VIA BUDUA N. 8 con ingresso via veglia; (z.d. 9)
VIA BUGATTI ETTORE N. 1 ; (z.d. 5)
VIA BUGATTI ETTORE N. 9 ; (z.d. 5)
VIA BUONARROTI MICHELANGELO N. 15 ; (z.d. 7)
VIA BUONARROTI MICHELANGELO N. 4 ; (z.d. 7)
VIA BURLAMACCHI FRANCESCO N. 11 ; (z.d. 4)
VIA BUSCHI AVERARDO N. 20 (z.d. 3)
VIA BUSCHI AVERARDO N. 25 ; (z.d. 6)
VIA BUSSETO N. 2 ; (z.d. 4)
VIA CABELLA BARTOLOMEO N. 21 ; (z.d. 7)
VIA CABELLA BARTOLOMEO N. 56 ; (z.d. 7)
VIA CABELLA BARTOLOMEO num.004a; (z.d. 7)
VIA CABELLA BARTOLOMEO num.009a; (z.d. 7)
VIA CACCIALEPORI N. 3 ; (z.d. 7)
VIA CACCIALEPORI N. 36 ; (z.d. 7)
VIA CACCIATORI BENEDETTO N. 1 ; (z.d. 7)
VIA CACCIATORI BENEDETTO N. 12 ; (z.d. 7)
VIA CADAMOSTO ALVISE N. 7 (z.d. 3)
VIA CADIBONA N. 10 ; (z.d. 4)
VIA CADIBONA N. 8 ; (z.d. 4)
VIA CADORE N. 21 ; (z.d. 4)
VIA CADORE N. 29 ; (z.d. 4)
VIA CADORE N. 30 ; (z.d. 4)
VIA CADORE N. 37 ; (z.d. 4)
VIA CADORE N. 39 ; (z.d. 4)
VIA CADORE N. 48 ; (z.d. 4)
VIA CADORE N. 6 ; (z.d. 4)
VIA CAGLIERO GIOVANNI N. 14 interrato; (z.d. 2)
VIA CAGLIERO GIOVANNI N. 6 ; (z.d. 2)
VIA CAGLIERO GIOVANNI N. 7 ; (z.d. 2)
VIA CAGNOLA LUIGI N. 7 ; (z.d. 1)
VIA CALDERA num.111a; (z.d. 7)
VIA CALIFORNIA N. 1 ; (z.d. 7)
VIA CALIFORNIA N. 14 ; (z.d. 7)
VIA CALIFORNIA N. 2 ; (z.d. 7)
VIA CALVAIRATE N. 1 ; (z.d. 4)
VIA CALVAIRATE N. 1 angolo viale molise; (z.d. 4)
VIA CALVI PIETRO N. 3 altro locale; (z.d. 4)
VIA CALVI PIETRO p.t.acconciatore num.003a; (z.d. 4)
VIA CALVI PIETRO seminterrato num.003a; (z.d. 4)
VIA CALZECCHI TEMISTOCLE N. 2 ; (z.d. 3)
VIA CALZECCHI TEMISTOCLE N. 2 ang.via amadeo; (z.d. 3)
VIA CAMERINI EUGENIO N. 7 ; (z.d. 3)
VIA CAMINADELLA N. 17 (z.d. 1)
VIA CAMINADELLA N. 7 ; (z.d. 1)
VIA CAMINADELLA N. 9 ; (z.d. 1)
VIA CAMOZZI GABRIELE N. 1 ; (z.d. 7)
VIA CAMPERIO MANFREDO N. 16 int. profumeria; (z.d. 1)
VIA CAMPERIO MANFREDO N. 17 ; (z.d. 1)
VIA CANDIANI GIUSEPPE N. 117 ; (z.d. 9)
VIA CANDIANI GIUSEPPE N. 98 ; (z.d. 9)
VIA CANDOGLIA N. 2 ; (z.d. 9)
VIA CANNERO N. 15 ; (z.d. 9)
VIA CANONICA LUIGI N. 13 ; (z.d. 1)
VIA CANONICA LUIGI N. 24 (z.d. 1)
VIA CANONICA LUIGI N. 39 ; (z.d. 1)
VIA CANONICA LUIGI N. 59 ; (z.d. 1)
VIA CANONICA LUIGI N. 91 (z.d. 8)
VIA CANOVA ANTONIO N. 1 ; (z.d. 1)
VIA CANTONI COSTANZO N. 11 ; (z.d. 9)
VIA CANTONI GIOVANNI N. 11 ; (z.d. 7)
VIA CAPECELATRO ALFONSO N. 14 (z.d. 7)
VIA CAPECELATRO ALFONSO N. 14 ; (z.d. 7)
VIA CAPECELATRO ALFONSO N. 19 ; (z.d. 7)
VIA CAPECELATRO ALFONSO N. 20 ; (z.d. 7)
VIA CAPECELATRO ALFONSO N. 23 (z.d. 7)
VIA CAPECELATRO ALFONSO N. 29 ; (z.d. 7)
VIA CAPECELATRO ALFONSO N. 35 ; (z.d. 7)
VIA CAPECELATRO ALFONSO N. 61 ; (z.d. 7)
VIA CAPECELATRO ALFONSO N. 87 ; (z.d. 7)
VIA CAPPELLINI ALFREDO N. 16 (z.d. 2)
VIA CAPPONI PIER LUIGI N. 1 ; (z.d. 7)
VIA CAPPONI PIER LUIGI N. 4 ; (z.d. 7)
VIA CAPPONI PIER LUIGI N. 5 ; (z.d. 7)
VIA CAPPUCCIO N. 2 (z.d. 1)
VIA CAPRI N. 21 ; (z.d. 7)
VIA CAPSONI SIRO N. 11 ; (z.d. 9)
VIA CARABELLI RODOLFO N. 1 ; (z.d. 4)
VIA CARABELLI RODOLFO N. 11 ; (z.d. 4)
VIA CARABELLI RODOLFO N. 15 ; (z.d. 4)
VIA CARABELLI RODOLFO N. 2 ; (z.d. 4)
VIA CARACCIOLO FRANCESCO N. 92 ; (z.d. 8)
VIA CARCANO FILIPPO N. 10 ; (z.d. 7)
VIA CARCANO FILIPPO N. 4 ; (z.d. 7)
VIA CARCANO GIULIO N. 4 ; (z.d. 5)
VIA CARCANO GIULIO num.0613; (z.d. 5)
VIA CARDINALE MEZZOFANTI N. 2 ; (z.d. 4)
VIA CARDINALE MEZZOFANTI N. 20 ; (z.d. 4)
VIA CARDINALE MEZZOFANTI N. 29 ; (z.d. 4)
VIA CARDUCCI GIOSUE' N. 12 ; (z.d. 1)
VIA CARDUCCI GIOSUE' N. 19 angolo via terraggio (z.d. 1)
VIA CARDUCCI GIOSUE' N. 2 ; (z.d. 1)
VIA CARDUCCI GIOSUE' N. 27 ; (z.d. 1)
VIA CARDUCCI GIOSUE' N. 38 ; (z.d. 1)
VIA CARDUCCI GIOSUE' N. 9 ; (z.d. 1)
VIA CARETTA ANNIBALE N. 3 (z.d. 3)
VIA CARLI GIAN RINALDO N. 15 ; (z.d. 9)
VIA CARLI GIAN RINALDO N. 39 ; (z.d. 9)
VIA CARLONE CARLO ANTONIO N. 4 ; (z.d. 6)
VIA CARNEVALI ANTONIO N. 11 ; (z.d. 9)
VIA CARNEVALI ANTONIO N. 74 ; (z.d. 9)
VIA CARNIA N. 31 ; (z.d. 3)
VIA CARNIA N. 7 ; (z.d. 3)
VIA CARONCINI ALBERTO N. 1 ; (z.d. 4)
VIA CAROZZI GIUSEPPE N. 18 ; (z.d. 6)
VIA CARPI EUGENIO N. 4 ; (z.d. 3)
VIA CARROCCIO N. 3 ; (z.d. 1)
VIA CARROCCIO N. 6 ; (z.d. 1)
VIA CASARSA N. 9 (z.d. 9)
VIA CASARSA N. 9 ; (z.d. 9)
VIA CASATI FELICE N. 12 ; (z.d. 3)
VIA CASATI FELICE N. 2 ; (z.d. 3)
VIA CASATI FELICE N. 25 ; (z.d. 2)
VIA CASATI FELICE N. 35 ; (z.d. 2)
VIA CASCINA BAROCCO N. 4 2 locali; (z.d. 7)
VIA CASCINA BAROCCO N. 9 (z.d. 7)
VIA CASCINA BAROCCO N. 9 ; (z.d. 7)
VIA CASCINA BELLARIA N. 1 ingr.via novara; (z.d. 7)
VIA CASCINA BELLARIA N. 19 ; (z.d. 7)
VIA CASCINA BIANCA N. 16 ; (z.d. 6)
VIA CASELLA GIOVANNI BATTISTA N. 10 ; (z.d. 8)
VIA CASELLA GIOVANNI BATTISTA N. 17 (z.d. 8)
VIA CASELLA GIOVANNI BATTISTA N. 37 con ingresso da v.le espinasse; (z.d. 8)
VIA CASORETTO N. 1 (z.d. 3)
VIA CASORETTO N. 1 ; (z.d. 3)
VIA CASORETTO N. 37 ; (z.d. 3)
VIA CASORETTO N. 43 ; (z.d. 3)
VIA CASORETTO N. 5 ; (z.d. 3)
VIA CASORETTO N. 60 ; (z.d. 3)
VIA CASORETTO N. 7 ; (z.d. 3)
VIA CASORETTO N. 8 ; (z.d. 3)
VIA CASSINIS GIOVANNI BATTISTA N. 23 ; (z.d. 4)
VIA CASSINIS GIOVANNI BATTISTA N. 23 interno; (z.d. 4)
VIA CASTALDI PANFILO N. 16 ; (z.d. 3)
VIA CASTALDI PANFILO N. 21 ; (z.d. 3)
VIA CASTALDI PANFILO N. 23 ; (z.d. 3)
VIA CASTALDI PANFILO N. 29 (z.d. 3)
VIA CASTALDI PANFILO N. 29 ; (z.d. 3)
VIA CASTALDI PANFILO N. 32 ; (z.d. 3)
VIA CASTALDI PANFILO N. 37 (z.d. 3)
VIA CASTALDI PANFILO N. 37 ; (z.d. 3)
VIA CASTALDI PANFILO N. 38 ; (z.d. 3)
VIA CASTALDI PANFILO N. 42 ; (z.d. 3)
VIA CASTEL MORRONE N. 12 (z.d. 3)
VIA CASTEL MORRONE N. 18 ; (z.d. 3)
VIA CASTEL MORRONE N. 9 ; (z.d. 3)
VIA CASTELLANZA N. 8 ; (z.d. 8)
VIA CASTELVETRO LODOVICO N. 13 (z.d. 8)
VIA CATALANI ALFREDO N. 35 ; (z.d. 3)
VIA CAVALCANTI GUIDO N. 1 ; (z.d. 2)
VIA CAVALERI LUDOVICO N. 1 ; (z.d. 6)
VIA CAVALLOTTI FELICE N. 13 ; (z.d. 1)
VIA CAVEZZALI FRANCESCO N. 11 con ingr. via marinetti n. 1; (z.d. 2)
VIA CELESTINO IV N. 9 ; (z.d. 1)
VIA CELIO N. 2 (z.d. 7)
VIA CELIO N. 2 ; (z.d. 7)
VIA CELLINI BENVENUTO N. 3 ; (z.d. 4)
VIA CENISIO N. 10 (z.d. 8)
VIA CENISIO N. 10 riservata ai soli soci; (z.d. 8)
VIA CENISIO N. 14 (z.d. 8)
VIA CENISIO N. 16 ; (z.d. 8)
VIA CENISIO N. 23 ; (z.d. 8)
VIA CENISIO N. 36 (z.d. 8)
VIA CENISIO N. 37 ; (z.d. 8)
VIA CENISIO N. 40 ; (z.d. 8)
VIA CENISIO N. 42 ; (z.d. 8)
VIA CENISIO N. 53 ; (z.d. 8)
VIA CENISIO N. 61 ; (z.d. 8)
VIA CENISIO N. 62 ; (z.d. 8)
VIA CENISIO N. 8 ; (z.d. 8)
VIA CENISIO N. 83 ; (z.d. 8)
VIA CENISIO N. 87 ; (z.d. 8)
VIA CENISIO num.0767; (z.d. 8)
VIA CERADINI GIULIO N. 24 ; (z.d. 3)
VIA CERNUSCHI ENRICO N. 1 seminterrato; (z.d. 1)
VIA CERVA N. 10 int.cortile; (z.d. 1)
VIA CERVA N. 19 ; (z.d. 1)
VIA CERVIGNANO N. 1 (z.d. 4)
VIA CERVIGNANO N. 6 ; (z.d. 4)
VIA CERVIGNANO N. 8 piano 5ø; (z.d. 4)
VIA CESARE DA SESTO N. 18 (z.d. 1)
VIA CESARE DA SESTO N. 20 ; (z.d. 1)
VIA CESARE DA SESTO N. 22 ; (z.d. 1)
VIA CESARE DA SESTO N. 23 ; (z.d. 1)
