Tipo esercizio pa
(Z.D. 9)
ACCONCIATORE
BARBIERE
CENTRO ABBRONZATURA
CENTRO BENESSERE
CENTRO MASSAGGI
ESECUZIONE DI TATUAGGI E PIERCING
ESTETISTA
ESTETISTA IN PROFUMERIA
MANICURE
PARRUCCHIERE MISTO
PARRUCCHIERE PER SIGNORA
PARRUCCHIERE PER UOMO
PEDICURE ESTETICO
TIPO A - REG.2003
TIPO A ESTETICA MANUALE
TIPO A-B-C-D
TIPO B CENTRO DI ABBRONZATURA
TIPO C TRATT.ESTETICI DIMAGRIM
TIPO D ESTET.APPAR.ELETTROMECC
TRUCCATORE
